iter	Passed	Remaining
0	1	126
1	2	112
2	3	106
3	4	100
4	5	100
5	6	97
6	7	95
7	8	94
8	9	93
9	10	92
10	11	91
11	12	91
12	13	93
13	15	92
14	16	90
15	17	89
16	18	88
17	19	87
18	20	85
19	21	84
20	22	82
21	23	82
22	24	81
23	25	79
24	26	78
25	27	78
26	28	77
27	30	77
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	39	67
37	41	67
38	42	66
39	43	65
40	44	64
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	51
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
